time,summary
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7380974,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.7380974,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.747076,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.747076,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.747076,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https PA / Raw
1728415727.765008,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415727.7680995,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https A / Raw
1728415727.7686002,Ether / IP / TCP 192.168.57.164:20477 > 34.120.202.204:https PA / Raw
1728415727.7700315,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 PA / Raw
1728415727.8083315,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.8083315,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
1728415727.8138218,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.8138218,Ether / IPv6 / TCP 2600:140f:6800::17d7:d753:https > 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 A / Raw
1728415727.816951,Ether / IPv6 / TCP 2401:4900:57b7:1376:d87b:98f2:2336:1b62:20928 > 2600:140f:6800::17d7:d753:https A
